time,ax,ay,az,aT
57.687,-0.59,0.13,0.00,0.61
57.694,0.05,0.28,-0.68,0.73
57.697,0.71,0.22,-0.85,1.13
57.704,0.45,0.20,-0.39,0.63
57.732,-0.36,-0.04,0.34,0.50
57.733,-0.40,0.19,0.25,0.51
57.734,0.40,0.32,-0.47,0.70
57.735,0.93,0.22,-0.76,1.22
57.736,0.35,0.10,-0.42,0.56
57.736,-0.34,-0.13,-0.11,0.38
57.737,-0.22,0.15,-0.32,0.42
57.743,0.47,0.40,-0.49,0.79
57.747,0.74,0.21,-0.25,0.81
57.752,0.19,0.12,0.10,0.25
57.757,-0.30,0.10,0.08,0.33
57.762,-0.15,0.26,-0.38,0.48
57.767,0.35,0.25,-0.76,0.87
57.772,0.49,0.11,-0.45,0.68
57.777,0.11,0.08,-0.09,0.16
57.782,-0.27,0.06,0.15,0.31
57.787,0.01,0.21,-0.14,0.25
57.792,0.53,0.26,-0.61,0.85
57.797,0.61,0.13,-0.45,0.77
57.802,0.11,0.08,-0.21,0.25
57.807,-0.29,0.09,-0.32,0.44
57.812,0.06,0.20,-0.56,0.59
57.817,0.59,0.30,-0.50,0.82
57.827,0.60,0.16,-0.13,0.63
57.828,-0.02,0.03,0.38,0.38
57.833,-0.34,0.14,0.23,0.43
57.840,0.16,0.28,-0.64,0.72
57.843,0.59,0.24,-0.87,1.08
57.848,0.34,0.07,-0.53,0.63
57.853,-0.21,-0.08,-0.15,0.27
57.859,-0.20,0.13,0.05,0.24
57.862,0.53,0.39,-0.31,0.73
57.868,0.85,0.26,-0.36,0.96
57.874,0.25,0.10,-0.10,0.29
57.878,-0.29,-0.01,-0.24,0.37
57.883,-0.15,0.09,-0.44,0.47
57.889,0.37,0.33,-0.63,0.80
57.893,0.55,0.21,-0.36,0.69
57.899,0.10,0.13,0.18,0.24
57.903,-0.19,0.15,0.19,0.30
57.909,0.05,0.11,-0.26,0.28
57.914,0.39,0.24,-0.61,0.76
57.919,0.45,0.17,-0.51,0.70
57.925,0.14,-0.02,-0.31,0.34
57.929,-0.17,0.16,-0.11,0.26
57.934,0.03,0.25,-0.04,0.25
57.939,0.59,0.28,-0.30,0.72
57.945,0.67,0.19,-0.27,0.75
57.950,0.12,0.09,-0.19,0.24
57.956,-0.36,0.17,-0.25,0.47
57.962,-0.11,0.13,-0.55,0.58
57.966,0.51,0.17,-0.59,0.80
57.970,0.60,0.19,-0.08,0.63
57.977,-0.01,0.10,0.33,0.34
57.980,-0.32,0.15,0.01,0.35
57.984,0.12,0.22,-0.47,0.53
58.008,0.75,0.26,-0.80,1.13
58.009,0.43,0.01,-0.43,0.61
58.010,-0.32,-0.06,-0.04,0.33
58.011,-0.36,0.19,-0.21,0.46
58.011,0.50,0.41,-0.55,0.84
58.016,0.91,0.17,-0.42,1.01
58.023,0.31,-0.08,-0.17,0.37
58.026,-0.39,-0.00,0.30,0.49
58.030,-0.20,0.42,-0.37,0.60
58.035,0.55,0.40,-0.69,0.97
58.043,0.58,0.11,-0.40,0.72
58.044,0.03,-0.05,-0.33,0.34
58.051,-0.43,-0.09,0.18,0.47
58.055,0.06,0.44,-0.41,0.60
58.062,0.86,0.32,-0.64,1.12
58.066,0.74,0.16,-0.12,0.77
58.073,0.14,-0.11,-0.28,0.33
58.077,-0.33,-0.12,-0.10,0.37
58.081,0.01,0.43,-0.62,0.75
58.086,0.45,0.33,-0.61,0.83
58.093,0.39,0.15,-0.02,0.42
58.096,-0.04,0.10,0.20,0.23
58.102,-0.22,0.06,0.22,0.32
58.124,0.17,0.30,-0.55,0.65
58.125,0.59,0.20,-0.63,0.88
58.125,0.44,0.08,-0.68,0.81
58.126,-0.10,0.03,-0.23,0.26
58.127,-0.16,0.09,0.05,0.19
58.132,0.38,0.29,-0.30,0.57
58.136,0.75,0.23,-0.22,0.81
58.142,0.38,0.20,-0.38,0.58
58.147,-0.35,0.02,-0.14,0.37
58.148,-0.27,0.20,-0.37,0.51
58.152,0.41,0.31,-0.71,0.88
58.156,0.65,0.02,-0.05,0.65
58.161,0.21,0.15,0.05,0.26
58.167,-0.22,0.09,0.09,0.25
58.171,0.02,0.32,-0.33,0.45
58.180,0.47,0.18,-0.82,0.96
58.181,0.51,-0.06,-0.55,0.75
58.188,-0.00,0.14,-0.33,0.36
58.192,-0.23,0.08,-0.13,0.27
58.197,0.24,0.29,-0.13,0.39
58.204,0.70,0.40,-0.39,0.90
58.209,0.40,-0.03,-0.03,0.40
58.212,-0.21,0.05,0.11,0.24
58.217,-0.30,0.26,-0.31,0.50
58.224,0.16,0.38,-0.47,0.62
58.229,0.48,0.24,-0.62,0.82
58.234,0.35,-0.18,-0.30,0.50
58.260,0.01,0.03,-0.00,0.03
58.261,0.01,0.27,-0.20,0.34
58.262,0.35,0.24,-0.27,0.50
58.262,0.55,0.24,-0.41,0.73
58.263,0.34,-0.05,-0.30,0.46
58.264,-0.25,0.03,0.01,0.26
58.268,-0.38,0.32,-0.21,0.53
58.273,0.17,0.31,-0.45,0.57
58.277,0.62,0.29,-0.49,0.84
58.283,0.43,-0.01,-0.14,0.45
58.290,-0.15,-0.04,0.19,0.24
58.293,-0.14,0.35,-0.19,0.42
58.299,0.49,0.26,-0.68,0.88
58.304,0.68,0.08,-0.77,1.03
58.309,0.12,0.01,-0.29,0.32
58.314,-0.39,0.05,0.12,0.41
58.321,-0.06,0.31,-0.14,0.35
58.326,0.67,0.28,-0.28,0.78
58.327,0.67,0.22,-0.17,0.72
58.334,-0.04,0.12,-0.13,0.19
58.341,-0.46,-0.01,-0.22,0.51
58.344,0.07,0.29,-0.58,0.65
58.351,0.79,0.26,-0.53,0.99
58.372,0.59,0.04,-0.06,0.59
58.373,-0.09,0.07,0.18,0.21
58.374,-0.19,0.15,-0.07,0.25
58.374,0.29,0.29,-0.73,0.83
58.375,0.54,0.09,-0.81,0.97
58.380,0.21,0.04,-0.46,0.51
58.384,-0.17,0.15,-0.09,0.24
58.390,-0.06,0.26,0.12,0.30
58.395,0.40,0.25,-0.21,0.52
58.400,0.56,0.01,-0.37,0.66
58.404,0.15,0.08,-0.18,0.25
58.409,-0.19,0.27,-0.41,0.53
58.414,-0.08,0.31,-0.34,0.46
58.421,0.40,0.26,-0.51,0.70
58.426,0.59,-0.05,-0.47,0.76
58.430,0.20,-0.03,0.01,0.20
58.434,-0.15,0.26,-0.23,0.38
58.441,0.04,0.28,-0.20,0.34
58.444,0.47,0.36,-0.34,0.68
58.455,0.60,-0.02,-0.44,0.74
58.456,0.09,-0.08,-0.08,0.15
58.459,-0.45,0.23,-0.24,0.56
58.464,-0.08,0.23,-0.47,0.53
58.485,0.51,0.36,-0.64,0.89
58.485,0.68,0.05,-0.25,0.73
58.486,-0.00,-0.09,0.31,0.32
58.487,-0.30,0.28,0.17,0.44
58.492,0.21,0.24,-0.59,0.67
58.497,0.61,0.18,-0.96,1.15
58.502,0.28,0.14,-0.43,0.54
58.506,-0.22,-0.01,-0.10,0.24
58.510,-0.17,0.21,0.02,0.27
58.515,0.45,0.34,0.01,0.56
58.522,0.76,0.28,-0.49,0.95
58.525,0.13,-0.04,-0.30,0.32
58.530,-0.45,0.06,-0.25,0.52
58.536,-0.19,0.28,-0.56,0.65
58.541,0.34,0.17,-0.29,0.47
58.546,0.70,0.17,-0.24,0.76
58.552,0.29,-0.03,0.11,0.31
58.555,-0.17,0.27,0.03,0.32
58.565,-0.12,0.18,-0.57,0.61
58.566,0.32,0.03,-0.85,0.91
58.588,0.47,0.13,-0.85,0.98
58.589,0.19,0.01,-0.12,0.22
58.590,-0.27,0.21,0.38,0.51
58.591,0.07,0.42,0.03,0.43
58.592,0.53,0.08,-0.36,0.64
58.599,0.55,0.06,-0.48,0.73
58.604,0.09,0.01,-0.38,0.40
58.607,-0.44,0.28,-0.06,0.53
58.612,-0.00,0.46,-0.33,0.56
58.613,0.73,0.01,-0.44,0.85
58.618,0.60,-0.01,-0.35,0.70
58.622,-0.10,-0.06,-0.11,0.16
58.627,-0.33,0.16,0.04,0.37
58.632,0.32,0.42,-0.53,0.74
58.644,0.83,0.15,-0.45,0.96
58.645,0.30,0.11,-0.21,0.38
58.646,-0.40,-0.01,-0.29,0.49
58.653,-0.37,0.16,-0.35,0.53
58.657,0.30,0.42,-0.71,0.88
58.663,0.79,0.10,-0.18,0.81
58.669,0.27,0.09,0.26,0.38
58.673,-0.25,0.04,0.14,0.29
58.677,-0.14,0.08,-0.26,0.30
58.705,0.39,0.24,-1.00,1.11
58.706,0.53,0.11,-0.72,0.90
58.707,0.08,0.14,-0.17,0.23
58.708,-0.11,0.09,0.11,0.18
58.709,0.13,0.15,0.27,0.34
58.709,0.49,0.34,-0.20,0.63
58.713,0.42,0.11,-0.51,0.67
58.718,-0.07,0.09,-0.50,0.51
58.723,-0.24,0.24,-0.37,0.51
58.728,0.13,0.23,-0.18,0.31
58.733,0.59,0.14,-0.13,0.62
58.738,0.60,-0.06,-0.11,0.61
58.743,0.05,0.12,-0.14,0.19
58.750,-0.24,0.28,-0.51,0.63
58.757,0.13,0.17,-0.75,0.78
58.760,0.51,0.13,-0.67,0.85
58.763,0.42,-0.02,-0.30,0.52
58.769,-0.00,0.05,0.21,0.21
58.773,-0.15,0.28,0.13,0.34
58.779,0.31,0.34,-0.33,0.57
58.786,0.56,0.27,-0.55,0.83
58.788,0.18,-0.01,-0.36,0.40
58.797,-0.20,0.02,-0.19,0.27
58.822,-0.13,0.25,-0.42,0.51
58.823,0.39,0.20,-0.47,0.64
58.824,0.66,0.14,-0.40,0.79
58.825,0.30,0.08,-0.15,0.34
58.825,-0.15,0.09,0.14,0.22
58.826,-0.03,0.16,-0.30,0.34
58.830,0.41,0.20,-0.60,0.75
58.834,0.37,0.28,-0.47,0.67
58.840,-0.05,0.15,-0.25,0.30
58.844,-0.35,0.08,-0.04,0.36
58.850,0.07,0.28,-0.27,0.40
58.855,0.59,0.15,-0.28,0.67
58.860,0.50,0.12,-0.08,0.52
58.866,0.03,0.16,-0.22,0.28
58.870,-0.15,0.06,-0.46,0.49
58.876,0.04,0.15,-0.63,0.65
58.879,0.54,0.12,-0.60,0.82
58.887,0.45,0.11,-0.13,0.48
58.890,0.03,0.22,0.17,0.28
58.895,-0.14,0.25,0.06,0.30
58.902,0.09,0.37,-0.38,0.54
58.906,0.49,0.10,-0.61,0.78
58.910,0.32,-0.01,-0.54,0.63
58.932,-0.16,0.17,-0.23,0.33
58.933,-0.23,0.20,0.00,0.30
58.934,0.32,0.36,-0.31,0.57
58.934,0.83,0.08,-0.29,0.88
58.935,0.35,-0.07,-0.29,0.46
58.941,-0.33,0.02,-0.27,0.43
58.945,-0.32,0.27,-0.59,0.72
58.949,0.46,0.36,-0.81,1.00
58.955,0.88,0.03,-0.25,0.92
58.960,0.16,0.05,0.32,0.36
58.966,-0.51,0.17,0.37,0.65
58.970,-0.18,0.22,-0.17,0.33
58.976,0.72,0.42,-0.90,1.23
58.982,0.62,0.09,-0.65,0.90
58.986,-0.25,-0.07,-0.15,0.31
58.991,-0.41,0.09,-0.17,0.45
58.995,0.23,0.23,-0.17,0.37
59.003,0.85,0.30,-0.51,1.03
59.005,0.68,-0.10,-0.24,0.73
59.010,-0.24,0.20,0.14,0.34
59.017,-0.33,0.19,-0.51,0.63
59.021,0.13,0.10,-0.38,0.41
59.026,0.55,0.35,-0.57,0.86
59.031,0.35,0.00,-0.34,0.49
59.037,-0.28,0.08,0.27,0.40
59.041,-0.16,0.30,-0.34,0.48
59.045,0.40,0.07,-0.26,0.48
59.051,0.58,0.31,-0.39,0.76
59.056,0.38,-0.05,-0.35,0.52
59.061,-0.24,0.03,-0.19,0.31
59.068,-0.26,0.32,-0.40,0.57
59.071,0.53,0.19,-0.44,0.72
59.077,0.64,0.21,-0.29,0.73
59.078,0.27,-0.05,0.14,0.31
59.089,-0.25,0.29,0.13,0.40
59.090,-0.07,0.40,-0.51,0.66
59.091,0.38,-0.01,-0.70,0.80
59.097,0.45,0.10,-0.56,0.73
59.102,0.06,0.01,0.01,0.06
59.106,-0.27,0.19,0.32,0.45
59.111,0.14,0.32,-0.05,0.35
59.119,0.64,0.09,-0.40,0.75
59.122,0.33,0.09,-0.51,0.62
59.127,-0.16,-0.00,-0.64,0.66
59.134,-0.31,0.14,-0.49,0.60
59.137,0.32,0.39,-0.40,0.64
59.142,0.84,0.09,-0.07,0.85
59.147,0.43,0.06,0.24,0.50
59.152,-0.25,0.10,0.17,0.32
59.157,-0.18,0.33,-0.45,0.59
59.163,0.23,0.35,-0.96,1.04
59.169,0.48,-0.02,-0.59,0.76
59.174,0.20,0.07,-0.14,0.25
59.177,-0.14,0.11,0.23,0.30
59.185,0.02,0.24,0.06,0.25
59.188,0.39,0.25,-0.45,0.64
59.192,0.49,0.08,-0.52,0.72
59.220,0.10,0.05,-0.48,0.49
59.220,-0.25,0.01,-0.25,0.35
59.221,-0.08,0.26,-0.16,0.32
59.221,0.51,0.38,-0.41,0.76
59.222,0.63,0.02,-0.29,0.70
59.222,0.07,-0.01,-0.14,0.16
59.230,-0.32,0.19,-0.14,0.40
59.234,-0.11,0.30,-0.23,0.39
59.238,0.40,0.28,-0.52,0.71
59.243,0.56,0.04,-0.49,0.75
59.248,0.13,0.01,-0.29,0.32
59.252,-0.21,0.12,-0.20,0.32
59.259,0.09,0.22,-0.29,0.37
59.263,0.66,0.25,-0.46,0.84
59.268,0.61,0.05,-0.14,0.63
59.274,-0.12,0.12,0.05,0.18
59.280,-0.38,0.29,-0.27,0.55
59.284,0.19,0.23,-0.57,0.64
59.289,0.69,0.17,-0.68,0.99
59.294,0.45,-0.04,-0.22,0.50
59.301,-0.21,0.13,0.31,0.40
59.305,-0.14,0.42,-0.00,0.44
59.309,0.45,0.16,-0.44,0.65
59.333,0.50,0.03,-0.60,0.78
59.334,0.15,-0.08,-0.66,0.68
59.334,-0.28,0.11,-0.52,0.60
59.335,0.02,0.38,-0.38,0.53
59.336,0.69,0.20,-0.18,0.74
59.340,0.71,0.11,0.04,0.72
59.343,0.01,-0.02,0.12,0.12
59.352,-0.38,0.19,-0.13,0.44
59.353,-0.18,0.48,-0.64,0.82
59.360,0.35,0.26,-0.72,0.84
59.367,0.46,0.02,-0.29,0.55
59.370,0.08,-0.07,0.03,0.12
59.375,-0.16,0.14,0.06,0.22
59.381,0.16,0.33,-0.36,0.51
59.385,0.61,0.18,-0.62,0.89
59.390,0.41,0.11,-0.46,0.63
59.399,-0.03,-0.05,-0.24,0.25
59.404,-0.26,0.16,-0.00,0.30
59.405,0.15,0.46,-0.29,0.57
59.409,0.53,0.09,-0.47,0.72
59.425,0.23,0.01,-0.33,0.40
59.427,-0.20,0.09,-0.04,0.23
59.427,-0.23,0.26,-0.01,0.35
59.432,0.30,0.30,-0.33,0.54
59.436,0.85,0.12,-0.51,1.00
59.440,0.19,0.08,-0.70,0.73
59.446,-0.38,0.02,-0.14,0.41
59.451,-0.00,0.33,-0.35,0.48
59.456,0.65,0.12,-0.32,0.73
59.462,0.71,0.17,0.12,0.74
59.466,0.01,0.23,-0.04,0.24
59.470,-0.40,0.19,-0.18,0.48
59.476,-0.25,0.33,-0.60,0.73
59.484,0.51,0.13,-0.84,0.99
59.485,0.57,-0.04,-0.03,0.58
59.491,0.05,0.16,0.17,0.24
59.500,-0.15,0.14,0.35,0.41
59.505,0.13,0.41,-0.43,0.61
59.506,0.44,-0.06,-0.86,0.96
59.512,0.28,-0.06,-0.76,0.81
59.517,-0.13,0.24,-0.50,0.57
59.520,-0.12,0.24,0.03,0.27
59.525,0.30,0.26,0.13,0.42
59.531,0.72,0.12,-0.08,0.73
59.537,0.31,-0.02,-0.06,0.31
59.537,-0.24,0.24,-0.39,0.52
59.541,-0.36,0.24,-0.61,0.74
59.547,0.13,0.27,-0.44,0.53
59.552,0.69,0.10,-0.26,0.75
59.559,0.54,-0.10,0.04,0.55
59.574,-0.18,0.18,0.09,0.27
59.575,-0.20,0.15,-0.26,0.35
59.576,0.32,0.34,-0.64,0.79
59.576,0.58,0.15,-0.62,0.86
59.581,0.11,-0.09,-0.06,0.16
59.586,-0.40,0.28,0.16,0.51
59.591,-0.06,0.38,-0.15,0.41
59.596,0.57,0.19,-0.63,0.87
59.601,0.58,-0.08,-0.59,0.83
59.606,-0.04,-0.03,-0.16,0.17
59.611,-0.32,0.32,-0.04,0.46
59.617,0.14,0.30,-0.09,0.34
59.622,0.65,0.15,-0.44,0.80
59.627,0.46,0.04,-0.43,0.62
59.634,-0.17,0.13,-0.25,0.32
59.637,-0.30,0.25,-0.36,0.53
59.642,0.25,0.18,-0.38,0.49
59.650,0.69,0.19,-0.24,0.75
59.651,0.35,0.10,-0.00,0.36
59.657,-0.17,0.15,-0.11,0.25
59.664,-0.17,0.25,-0.39,0.49
59.667,0.24,0.14,-0.51,0.58
59.672,0.55,0.10,-0.42,0.70
59.680,0.30,0.09,0.03,0.31
59.688,-0.08,0.21,0.13,0.26
59.689,-0.12,0.25,-0.16,0.32
59.697,0.13,0.10,-0.52,0.55
59.698,0.33,0.05,-0.87,0.93
59.703,0.17,0.04,-0.55,0.58
59.708,-0.10,0.20,0.03,0.22
59.712,0.08,0.31,0.10,0.34
59.717,0.46,0.13,0.00,0.48
59.723,0.41,0.03,-0.20,0.46
59.730,-0.00,0.12,-0.46,0.48
59.733,-0.34,0.27,-0.46,0.63
59.739,-0.02,0.35,-0.47,0.58
59.744,0.58,0.15,-0.38,0.71
59.749,0.58,-0.01,-0.11,0.59
59.754,0.08,0.03,-0.07,0.11
59.760,-0.18,0.16,-0.25,0.35
59.764,0.19,0.32,-0.53,0.65
59.770,0.58,0.09,-0.61,0.84
59.773,0.35,-0.06,-0.09,0.37
59.781,-0.15,0.23,0.06,0.28
59.784,-0.15,0.30,-0.18,0.38
59.789,0.24,0.21,-0.51,0.60
59.795,0.50,-0.04,-0.70,0.86
59.799,0.13,-0.01,-0.17,0.21
59.805,-0.22,0.28,0.14,0.38
59.811,0.01,0.26,-0.08,0.28
59.820,0.48,0.22,-0.39,0.66
59.820,0.46,-0.11,-0.63,0.79
59.824,0.03,-0.09,-0.33,0.35
59.832,-0.25,0.35,-0.38,0.58
59.834,0.05,0.18,-0.27,0.33
59.839,0.41,0.22,-0.06,0.47
59.863,0.45,0.20,-0.09,0.50
59.864,0.11,-0.00,-0.25,0.28
59.864,-0.44,0.18,-0.30,0.56
59.865,-0.05,0.23,-0.54,0.59
59.865,0.59,0.19,-0.47,0.78
59.870,0.69,0.10,-0.09,0.71
59.876,0.17,-0.10,0.14,0.24
59.880,-0.36,0.28,-0.16,0.48
59.885,0.01,0.16,-0.58,0.61
59.890,0.54,0.12,-0.92,1.07
59.896,0.33,0.03,-0.45,0.56
59.900,-0.20,0.10,0.24,0.33
59.905,-0.12,0.29,0.12,0.34
59.911,0.65,0.16,-0.26,0.72
59.915,0.55,0.02,-0.37,0.66
59.920,-0.15,0.23,-0.33,0.43
59.927,-0.51,0.33,-0.32,0.68
59.930,0.36,0.19,-0.45,0.60
59.936,0.75,0.14,-0.29,0.82
59.939,0.09,-0.05,0.35,0.36
59.958,-0.36,0.18,-0.13,0.42
59.959,0.31,0.14,-0.67,0.75
59.960,0.73,0.36,-0.53,0.97
59.960,-0.05,-0.05,-0.05,0.08
59.966,-0.38,-0.11,0.19,0.44
59.972,0.44,0.33,-0.23,0.60
59.976,0.67,0.45,-0.54,0.97
59.981,-0.24,0.02,-0.07,0.25
59.986,-0.23,-0.02,-0.41,0.47
59.993,0.40,0.16,-0.48,0.64
59.997,0.37,0.23,-0.01,0.43
60.002,-0.06,0.11,0.05,0.13
60.003,0.14,0.16,-0.08,0.23
60.006,0.48,0.36,-0.73,0.95
60.012,0.19,-0.17,-0.61,0.66
60.016,-0.05,0.02,-0.08,0.10
60.022,0.33,0.31,-0.19,0.50
60.026,0.28,0.23,-0.17,0.40
60.033,0.08,0.17,0.15,0.24
60.038,0.24,0.17,-0.33,0.44
60.044,0.08,0.15,-0.32,0.36
60.048,0.04,0.06,-0.30,0.30
60.055,0.22,0.07,-0.34,0.41
60.055,0.26,0.37,0.23,0.51
60.080,0.18,0.10,-0.23,0.31
60.081,0.13,0.11,0.09,0.20
60.082,-0.05,0.23,-0.33,0.40
60.083,0.06,0.18,-0.39,0.43
60.084,0.20,0.23,-0.30,0.43
60.089,0.14,0.07,-0.43,0.46
60.093,0.20,0.19,0.08,0.28
60.098,0.09,0.22,0.14,0.28
60.101,0.09,0.00,-0.35,0.36
60.109,0.13,0.13,-0.68,0.70
60.114,0.35,0.17,-0.49,0.63
60.119,0.46,0.16,-0.11,0.50
60.125,0.41,0.21,0.03,0.46
60.127,0.35,0.15,-0.10,0.39
60.134,0.23,0.15,-0.28,0.39
60.138,0.11,0.14,-0.43,0.47
60.142,0.12,0.18,-0.63,0.66
60.148,0.16,0.23,-0.59,0.65
60.153,0.21,0.08,-0.27,0.35
60.162,0.33,0.03,-0.14,0.36
60.164,0.43,0.15,-0.30,0.54
60.169,0.45,0.13,-0.53,0.70
60.191,0.42,0.06,-0.55,0.70
60.192,0.35,0.11,-0.46,0.59
60.193,0.27,0.14,-0.26,0.40
60.194,0.16,0.20,0.04,0.25
60.195,-0.03,0.21,-0.10,0.24
60.201,0.02,0.24,-0.06,0.25
60.205,0.18,0.24,-0.22,0.37
60.210,0.22,0.09,-0.44,0.50
60.215,0.15,0.11,-0.18,0.26
60.218,0.15,0.09,-0.36,0.40
60.224,0.33,0.18,0.00,0.37
60.230,-0.01,0.13,-0.66,0.67
60.234,0.33,0.29,0.58,0.73
60.241,0.10,0.14,-1.06,1.08
60.245,-0.42,-0.04,-0.57,0.71
60.249,0.43,0.10,2.03,2.08
60.255,1.20,0.30,-0.59,1.37
60.262,0.03,0.34,-3.21,3.23
60.263,-1.53,0.20,-0.30,1.58
60.270,-1.74,0.11,2.38,2.95
60.277,-0.52,0.01,1.51,1.60
60.280,0.88,-0.19,-0.26,0.94
60.284,1.37,0.02,-0.66,1.52
60.311,0.96,0.24,0.45,1.08
60.312,0.15,0.24,1.68,1.70
60.313,-0.80,0.39,2.17,2.35
60.314,-1.87,0.58,2.05,2.83
60.315,-2.69,0.72,1.75,3.29
60.316,-2.10,0.67,0.88,2.37
60.320,-0.08,0.25,-0.08,0.28
60.325,1.06,-0.13,-0.94,1.42
60.329,0.24,-0.09,-0.31,0.41
60.335,-0.56,0.20,-0.59,0.83
60.340,1.35,0.21,-0.86,1.61
60.345,1.01,0.21,-0.39,1.11
60.351,-1.22,0.06,0.24,1.24
60.357,0.97,-0.08,-0.05,0.97
60.361,1.00,0.40,-0.35,1.13
60.366,-0.22,0.09,-0.26,0.35
60.370,0.54,-0.09,-0.45,0.71
60.377,0.74,0.55,-0.58,1.09
60.381,0.62,-0.21,-0.09,0.66
60.385,0.27,0.27,0.17,0.42
60.392,0.89,-0.15,-0.54,1.06
60.396,0.27,0.23,0.12,0.37
60.401,-0.08,0.12,-1.10,1.10
60.410,0.44,0.21,0.13,0.51
60.414,-0.49,0.30,0.21,0.61
60.414,0.56,-0.19,-0.73,0.94
60.420,-0.22,0.59,0.41,0.75
60.441,0.45,-0.18,-0.34,0.60
60.442,0.23,0.29,-1.03,1.09
60.443,0.22,0.10,-0.16,0.29
60.443,0.22,0.37,-0.51,0.66
60.446,0.30,-0.39,0.44,0.66
60.452,0.25,0.24,-0.13,0.37
60.456,-0.01,0.54,-0.93,1.08
60.461,0.34,0.17,0.23,0.44
60.466,0.49,-0.07,-0.68,0.84
60.467,0.36,-0.31,0.22,0.52
60.473,0.00,0.62,0.48,0.78
60.477,0.21,0.29,-0.43,0.56
60.483,0.33,0.13,-0.66,0.75
60.487,0.48,0.13,-0.88,1.01
60.494,0.34,-0.20,-0.18,0.43
60.497,0.57,-0.07,-0.24,0.62
60.501,1.05,0.05,-0.34,1.10
60.507,0.57,0.40,0.12,0.71
60.512,0.47,0.24,-0.36,0.64
60.517,0.38,-0.02,-0.62,0.73
60.521,0.24,-0.06,-0.64,0.69
60.526,0.30,0.13,-0.34,0.47
60.532,0.39,0.14,-0.08,0.42
60.541,0.45,0.24,-0.18,0.54
60.542,0.32,0.19,-0.18,0.41
60.548,0.29,0.09,-0.43,0.52
60.551,0.14,-0.04,-0.52,0.54
60.565,0.20,0.01,-0.34,0.40
60.566,0.36,0.32,-0.35,0.60
60.566,0.40,0.22,-0.20,0.49
60.578,0.30,0.06,-0.17,0.35
60.578,0.24,-0.02,-0.28,0.37
60.581,0.19,0.15,-0.32,0.40
60.588,0.19,0.24,-0.36,0.47
60.594,0.23,0.23,-0.24,0.41
60.598,0.32,0.24,-0.22,0.45
60.606,0.33,0.03,-0.31,0.45
60.609,0.29,-0.07,-0.33,0.45
60.613,0.33,0.12,-0.39,0.52
60.618,0.33,0.25,-0.35,0.54
60.625,0.29,0.22,-0.26,0.45
60.628,0.33,-0.29,-0.17,0.47
60.635,0.26,0.17,-0.25,0.40
60.639,0.44,0.70,-0.49,0.97
60.643,0.46,-0.59,-0.42,0.86
60.649,0.06,-0.71,-0.28,0.77
60.655,0.26,-0.55,-0.19,0.64
60.666,0.25,-0.73,-0.01,0.77
60.667,0.13,-0.51,-0.01,0.52
60.668,0.33,-1.59,-0.30,1.65
60.675,-0.06,-1.24,-0.57,1.36
60.680,0.06,-0.81,-0.40,0.91
60.685,0.36,-0.85,-0.40,1.01
60.708,0.15,-0.36,-0.05,0.40
60.709,0.27,0.13,0.25,0.39
60.710,0.39,-0.16,-0.31,0.53
60.711,0.17,-0.20,-0.57,0.62
60.712,0.44,0.64,-0.69,1.04
60.715,0.50,0.23,-0.36,0.66
60.725,0.22,-0.00,0.13,0.26
60.726,0.50,0.33,-0.07,0.60
60.730,0.50,0.15,-0.19,0.55
60.734,0.15,0.46,-0.36,0.61
60.742,0.24,0.12,-0.60,0.66
60.745,0.27,0.16,-0.52,0.61
60.755,0.14,0.27,-0.22,0.38
60.756,0.16,-0.37,-0.06,0.41
60.760,0.15,0.48,-0.12,0.52
60.764,0.22,0.08,-0.19,0.30
60.772,0.26,-0.28,-0.61,0.72
60.776,0.12,0.69,-0.43,0.82
60.785,0.36,-0.10,-0.37,0.52
60.786,0.49,-0.13,-0.35,0.62
60.793,0.25,0.63,0.03,0.68
60.799,0.41,0.04,-0.22,0.47
60.800,0.43,-0.01,-0.40,0.59
60.832,0.02,0.64,-0.16,0.66
60.833,0.38,0.44,-0.49,0.76
60.834,0.50,-0.26,-0.41,0.70
60.835,-0.14,0.59,0.09,0.61
60.836,0.49,-0.01,-0.32,0.59
60.836,0.46,-0.32,-0.52,0.77
60.837,-0.23,0.92,-0.14,0.96
60.846,0.44,-0.52,-0.54,0.87
60.847,0.36,0.09,-0.37,0.52
60.851,0.03,0.90,0.12,0.91
60.858,0.59,-0.83,-0.41,1.10
60.862,0.39,0.82,-0.38,0.98
60.868,0.10,0.59,-0.09,0.60
60.878,0.43,-1.09,-0.44,1.26
60.878,0.37,0.62,-0.17,0.74
60.879,0.24,0.83,-0.10,0.87
60.885,0.46,-0.63,-0.37,0.86
60.893,0.12,0.32,-0.28,0.45
60.897,0.08,0.86,-0.30,0.91
60.910,0.50,-0.53,-0.54,0.90
60.911,0.05,-0.11,-0.25,0.28
60.911,0.14,0.71,-0.12,0.73
60.917,0.60,-0.16,-0.48,0.78
60.924,-0.02,0.32,-0.19,0.37
60.927,0.21,0.12,-0.18,0.30
60.958,0.48,-0.02,-0.66,0.82
60.960,0.06,1.17,-0.15,1.18
60.960,0.28,0.62,-0.21,0.71
60.961,0.56,0.07,-0.41,0.69
60.962,0.14,1.43,-0.16,1.45
60.963,0.17,1.53,-0.11,1.54
60.963,0.37,0.84,-0.39,1.00
60.971,0.13,1.24,-0.32,1.28
