time,ax,ay,az,aT
0.696,-0.37,0.26,-0.14,0.47
0.702,-0.48,0.17,-0.33,0.61
0.706,-0.56,0.13,-0.70,0.91
0.711,-0.36,0.16,-1.14,1.21
0.715,-0.47,-0.12,-1.63,1.70
0.721,-0.49,-0.36,-1.87,1.97
0.726,-0.40,-0.47,-1.97,2.07
0.731,-0.46,-0.47,-1.96,2.06
0.736,-0.77,-0.31,-1.89,2.06
0.741,-1.07,-0.13,-1.83,2.13
0.746,-1.17,-0.10,-1.67,2.04
0.751,-1.16,-0.16,-1.38,1.81
0.757,-0.99,-0.29,-0.98,1.42
0.761,-0.73,-0.42,-0.46,0.96
0.766,-0.67,-0.55,-0.04,0.87
0.772,-0.67,-0.64,0.26,0.96
0.776,-0.54,-0.73,0.58,1.08
0.781,-0.31,-0.81,0.83,1.20
0.788,-0.15,-0.87,0.97,1.31
0.793,-0.05,-0.87,1.06,1.37
0.797,0.05,-0.78,1.07,1.32
0.809,0.27,-0.60,0.94,1.15
0.810,0.41,-0.44,0.65,0.88
0.812,0.20,-0.39,0.32,0.55
0.817,-0.13,-0.40,0.04,0.42
0.822,-0.37,-0.40,-0.23,0.59
0.827,-0.50,-0.43,-0.54,0.85
0.832,-0.56,-0.47,-0.86,1.13
0.838,-0.44,-0.52,-1.13,1.32
0.842,-0.19,-0.56,-1.32,1.45
0.847,-0.02,-0.54,-1.55,1.64
0.852,-0.04,-0.43,-2.02,2.06
0.857,-0.34,-0.38,-2.53,2.58
0.862,-0.78,-0.45,-2.84,2.98
0.870,-1.14,-0.58,-3.04,3.30
0.876,-1.32,-0.70,-3.01,3.36
0.878,-1.42,-0.80,-2.84,3.27
0.882,-1.49,-0.86,-2.57,3.10
0.891,-1.37,-0.81,-2.15,2.67
0.893,-1.25,-0.68,-1.54,2.10
0.898,-1.21,-0.48,-0.82,1.54
0.903,-1.48,-0.46,-0.32,1.59
0.908,-1.64,-0.68,0.03,1.78
0.913,-1.77,-0.93,0.29,2.02
0.919,-1.87,-1.12,0.52,2.24
0.923,-2.07,-1.23,0.67,2.50
0.928,-2.37,-1.28,0.76,2.80
0.934,-2.84,-1.23,0.91,3.23
0.942,-3.47,-1.02,0.97,3.74
0.943,-4.04,-0.65,1.06,4.23
0.948,-4.39,-0.30,1.00,4.51
0.954,-4.64,-0.08,0.77,4.71
0.958,-4.57,-0.22,0.60,4.62
0.963,-3.77,-0.47,0.46,3.83
0.969,-1.82,-0.61,0.54,1.99
0.974,0.08,-0.54,0.53,0.76
0.979,1.46,-0.66,0.39,1.65
0.985,2.31,-0.69,0.64,2.49
0.989,3.06,-0.81,0.77,3.26
0.994,3.64,-1.11,0.72,3.87
1.007,3.88,-1.59,0.37,4.21
1.008,3.75,-2.14,0.07,4.32
1.009,3.09,-2.64,-0.27,4.07
1.014,2.42,-2.99,-0.42,3.87
1.020,1.79,-3.05,-0.10,3.54
1.024,1.48,-2.89,0.05,3.25
1.029,1.25,-2.61,0.26,2.90
1.035,1.03,-2.21,0.46,2.48
1.039,0.55,-1.91,0.38,2.02
1.044,0.23,-1.67,0.16,1.69
1.049,-0.03,-1.68,-0.24,1.70
1.055,-0.20,-1.75,-0.73,1.90
1.060,-0.51,-1.71,-0.94,2.02
1.064,-0.71,-1.42,-1.11,1.94
1.070,-0.64,-1.02,-1.16,1.68
1.075,-0.48,-0.59,-1.17,1.40
1.079,-0.11,-0.29,-1.06,1.10
1.085,0.11,0.03,-1.05,1.05
1.091,0.58,-0.00,-0.79,0.98
1.095,1.01,-0.00,-0.63,1.19
1.101,1.57,-0.19,-0.47,1.65
1.105,2.06,-0.45,-0.35,2.14
1.110,2.29,-0.75,-0.24,2.42
1.123,2.42,-1.05,-0.11,2.64
1.124,2.48,-1.27,0.07,2.79
1.125,2.52,-1.45,0.13,2.91
1.133,2.62,-1.60,0.14,3.08
1.134,2.66,-1.75,0.23,3.19
1.136,2.77,-1.85,0.32,3.35
1.140,2.79,-1.97,0.31,3.43
1.145,2.81,-2.17,0.18,3.55
1.151,2.85,-2.29,0.07,3.66
1.156,2.85,-2.40,0.08,3.72
1.161,2.52,-2.43,0.03,3.50
1.166,2.00,-2.33,0.08,3.07
1.172,1.47,-2.04,0.02,2.51
1.177,1.09,-1.55,0.07,1.89
1.183,1.04,-1.02,-0.08,1.46
1.188,1.04,-0.46,-0.34,1.18
1.192,1.12,0.06,-0.70,1.32
1.196,1.16,0.55,-1.06,1.66
1.202,1.29,0.92,-1.34,2.08
1.206,1.37,1.21,-1.51,2.37
1.211,1.38,1.31,-1.63,2.51
1.216,1.42,1.28,-1.76,2.60
1.221,1.46,1.17,-1.84,2.62
1.226,1.58,0.91,-1.69,2.49
1.232,1.84,0.58,-1.44,2.40
1.237,2.04,0.22,-1.20,2.38
1.241,2.19,-0.16,-0.95,2.39
1.246,2.32,-0.48,-0.73,2.48
1.252,2.46,-0.73,-0.48,2.61
1.256,2.55,-0.96,-0.32,2.74
1.261,2.54,-1.09,-0.16,2.77
1.269,2.37,-1.09,0.04,2.61
1.272,1.97,-0.93,0.22,2.19
1.277,1.52,-0.62,0.35,1.68
1.282,1.22,-0.23,0.50,1.34
1.288,1.00,0.18,0.70,1.24
1.292,0.78,0.60,0.89,1.32
1.298,0.53,0.95,0.99,1.47
1.303,0.20,1.19,0.94,1.52
1.307,-0.20,1.44,0.81,1.66
1.312,-0.49,1.56,0.60,1.74
1.319,-0.61,1.55,0.23,1.68
1.323,-0.69,1.46,-0.20,1.62
